,image_name,text_default,text_psm7
155,00011.jpg,_,ว่า
156,00011.jpg,เป็น,เป็น
157,00011.jpg,ราชสีท์,ราชสีท์
158,00011.jpg,_,_
159,00011.jpg,จึง,จึง
160,00011.jpg,กลับ,กลับ
161,00011.jpg,เข้า,เข้า
162,00011.jpg,ไป,ไป
163,00011.jpg,บ้าน,บ้าน
164,00011.jpg,บอก,บอก
165,00011.jpg,ญาติ,ญาติ
166,00011.jpg,พี่น้อง,พี่น้อง
167,00011.jpg,มา,มา
168,00012.jpg,ช่วย,ช่วย
169,00012.jpg,กัน,กัน
170,00012.jpg,_,ไล
171,00012.jpg,ราพสีห์,ราพสีห์
172,00012.jpg,_,_
173,00012.jpg,ต่าง,ต่าง
174,00012.jpg,คน,คน
175,00012.jpg,ต่าง,ต่าง
176,00012.jpg,_,ก็
177,00012.jpg,ถือ,ถือ
178,00012.jpg,อาวุธ,อาวุธ
179,00012.jpg,_,ทั้ง
180,00012.jpg,เบ่า,เบ่า
181,00012.jpg,สังข์,สังข์
182,00013.jpg,_,_
183,00013.jpg,_,รัว
184,00013.jpg,กลอง,กลอง
185,00013.jpg,_,_
186,00013.jpg,_,โห้
187,00013.jpg,_,ร้อง
188,00013.jpg,ไป,ไป
189,00013.jpg,_,_
190,00013.jpg,ลา,ลา
191,00013.jpg,ได้ฮิน,ได้ฮิน
192,00013.jpg,เสียง,เสียง
193,00013.jpg,นั้น,นั้น
194,00013.jpg,กลัว,กลัว
195,00013.jpg,ตาย,ตาย
196,00014.jpg,จึง,จึง
197,00014.jpg,ร้อง,ร้อง
198,00014.jpg,_,ออก
199,00014.jpg,มา,มา
200,00014.jpg,เป็น,เป็น
201,00014.jpg,เสียง,เสียง
202,00014.jpg,ลา,ลา
203,00014.jpg,_,_
204,00014.jpg,พระโพธิสัตว์,พระโพธิสัตว์
205,00014.jpg,พอ,พอ
206,00014.jpg,_,รู้
207,00014.jpg,_,ว่า
208,00014.jpg,_,มัน
209,00014.jpg,เป็น,เป็น
210,00015.jpg,ลา,ลา
211,00015.jpg,_,ไม่
212,00015.jpg,_,ใช้
213,00015.jpg,รายสีห์,รายสีห์
214,00015.jpg,_,จึง
215,00015.jpg,ร้อง,ร้อง
216,00015.jpg,บอก,บอก
217,00015.jpg,ขาวบ้าน,ขาวบ้าน
218,00015.jpg,วา,วา
219,00015.jpg,_,_
220,00015.jpg,_,_
221,00015.jpg,ซม,น
222,00015.jpg,มัน,มัน
223,00015.jpg,ไม,ไม
224,00016.jpg,_,ไช
225,00016.jpg,เสียง,เสียง
226,00016.jpg,ราชสีห์,ราชสีห์
227,00016.jpg,ดอก,ดอก
228,00016.jpg,_,@
229,00016.jpg,_,ไม่
230,00016.jpg,_,ใช
231,00016.jpg,เสียง,เสียง
232,00016.jpg,เสือโครง,เสือโครง
233,00016.jpg,_,_
234,00016.jpg,_,ไม
235,00016.jpg,_,ใช
236,00016.jpg,เสียง,เสียง
237,00016.jpg,เสือ,เสือ
238,00017.jpg,เหลือ,เหลือ
239,00017.jpg,_,_
240,00017.jpg,มัน,มัน
241,00017.jpg,เป็น,เป็น
242,00017.jpg,เสียง,เสียง
243,00017.jpg,ลาคลุม,ลาคลุม
244,00017.jpg,หนัง,หนัง
245,00017.jpg,ราชสีห์,ราชสีห์
246,00017.jpg,_,_
247,00017.jpg,_,น่
248,00017.jpg,_,_
249,00017.jpg,_,_
250,00017.jpg,พอ,พอ
251,00017.jpg,ทราบ,ทราบ
252,00018.jpg,ว่า,ว่า
253,00018.jpg,เป็น,เป็น
254,00018.jpg,ลา,ลา
255,00018.jpg,เท่าบั้น,เท่าบั้น
256,00018.jpg,_,_
257,00018.jpg,ขาวบ้าน,ขาวบ้าน
258,00018.jpg,_,ก็
259,00018.jpg,_,เฉ
260,00018.jpg,ทุบดี,ทุบดี
261,00018.jpg,จน,จน
262,00018.jpg,ลา,ลา
263,00018.jpg,ตาย,ตาย
264,00018.jpg,แล้ว,แล้ว
265,00018.jpg,อา,อา
266,00019.jpg,_,_
267,00019.jpg,เป,เป
268,00019.jpg,_,_
269,00019.jpg,ค่อค้า,อค้า
270,00019.jpg,_,กลับ
271,00019.jpg,มหา,มหา
272,00019.jpg,เห็น,เห็น
273,00019.jpg,_,เพศุหน์
274,00019.jpg,งั้น,งั้น
275,00019.jpg,อดี,อดี
276,00019.jpg,_,จึง
277,00019.jpg,ลําว,ลําว
278,00019.jpg,เป็น,เป็น
279,00019.jpg,_,_
280,00020.jpg,คาถา,คาถา
281,00020.jpg,ว่า,ว่า
282,00020.jpg,_,_
283,00020.jpg,_,_
284,00020.jpg,ลา,ลา
285,00020.jpg,เอา,เอา
286,00020.jpg,หนัง,หนัง
287,00020.jpg,วราชสีห์คลุม,วราชสีห์คลุม
288,00020.jpg,_,ตัว
289,00020.jpg,_,_
290,00020.jpg,เที่ยว,เที่ยว
291,00020.jpg,_,กิน
292,00020.jpg,ขาวเหนียว,ข้าวเหนียว
293,00020.jpg,อัน,อัน
294,00021.jpg,_,_
295,00021.jpg,เขียว,เขียว
296,00021.jpg,สด,สด
297,00021.jpg,เป็น,เป็น
298,00021.jpg,เวลา,เวลา
299,00021.jpg,นาน,นาน
300,00021.jpg,_,_
301,00021.jpg,_,_
302,00021.jpg,เพราะ,เพราะ
303,00021.jpg,_,_
304,00021.jpg,มัน,มัน
305,00021.jpg,ร้อง,ร้อง
306,00021.jpg,อยก,อยก
307,00021.jpg,มา,มา
308,00022.jpg,นั่น,นั่น
309,00022.jpg,แหละ,แหละ
310,00022.jpg,_,@
311,00022.jpg,จึง,จึง
312,00022.jpg,ทําร้าย,ทําร้าย
313,00022.jpg,ตัวเอง,ตัวเอง
314,00022.jpg,_,ใน
315,00022.jpg,สมัย,สมัย
316,00022.jpg,_,หนึ่ง
317,00022.jpg,_,_
318,00022.jpg,พระพุทธเจ้า,พระพุทธเจ้า
319,00022.jpg,ประทับ,ประทับ
320,00022.jpg,อยู่,อยู่
321,00022.jpg,วัด,วัด
322,00023.jpg,เขตวัน,เขตวัน
323,00023.jpg,_,_
324,00023.jpg,_,เมือง
325,00023.jpg,สาวัดถึ,สาวัดถึ
326,00023.jpg,_,_
327,00023.jpg,ทรง,ทรง
328,00023.jpg,ปรารภ,ปรารภ
329,00023.jpg,มหาสุบิน,มหาสุบิน
330,00023.jpg,_,_
331,00023.jpg,16,16
332,00023.jpg,_,_
333,00023.jpg,_,ข้อ
334,00023.jpg,ของ,ของ
335,00023.jpg,พระเจ้า,พระเจ้า
336,00024.jpg,_,โกล
337,00024.jpg,มหาราช,มหาราช
338,00024.jpg,_,_
339,00024.jpg,เรื่อง,เรื่อง
340,00024.jpg,_,มี
341,00024.jpg,ลผู้,ลผู้
342,00024.jpg,วา,วา
343,00024.jpg,_,_
344,00024.jpg,_,คืน
345,00024.jpg,_,วัน
346,00024.jpg,_,หนึ่ง
347,00024.jpg,_,_
348,00024.jpg,พระเจ้า,พระเจ้า
349,00024.jpg,โกศล,โกศล
350,00025.jpg,มหาราช,มหาราช
351,00025.jpg,_,_
352,00025.jpg,_,ผุ้
353,00025.jpg,ครอง,ครอง
354,00025.jpg,_,เมือง
355,00025.jpg,สาวัตถี,สาวัตถี
356,00025.jpg,_,_
357,00025.jpg,ใน,ใน
358,00025.jpg,เวลา,เวลา
359,00025.jpg,ใกล้รุง,ใกล้รุง
360,00025.jpg,ทรง,ทรง
361,00025.jpg,พระสุบิน,พระสุบิน
362,00025.jpg,_,_
363,00025.jpg,16,16
364,00026.jpg,_,_
365,00026.jpg,ประการ,ประการ
366,00026.jpg,_,_
367,00026.jpg,แล้ว,แล้ว
368,00026.jpg,สะดุ้ง,สะดุ้ง
369,00026.jpg,_,ตืน
370,00026.jpg,จาก,จาก
371,00026.jpg,บรรทม,บรรทม
372,00026.jpg,_,คิด
373,00026.jpg,หหวาดกลัว,หหวาดกลัว
374,00026.jpg,ว่า,ว่า
375,00026.jpg,ออันตราย,ออันตราย
376,00026.jpg,อะไร,อะไร
377,00026.jpg,จัก,จัก
378,00027.jpg,_,_
379,00027.jpg,_,มี
380,00027.jpg,_,แก่
381,00027.jpg,_,ตัว
382,00027.jpg,เร,เร
383,00027.jpg,_,_
384,00027.jpg,_,จึง
385,00027.jpg,รับสั่ง,รับสั่ง
386,00027.jpg,_,ให้
387,00027.jpg,_,_
388,00027.jpg,พราหมณ์,พราหมณ์
389,00027.jpg,บุโรหิต,บุโรหิต
390,00027.jpg,หลวง,หลวง
391,00027.jpg,เจ้าเข้า,เจ้าน้า
392,00028.jpg,_,แต่
393,00028.jpg,เช้า,เข้า
394,00028.jpg,ครู่,ครู่
395,00028.jpg,_,_
396,00028.jpg,พวก,พวก
397,00028.jpg,พราหมณ์,พราหมณ์
398,00028.jpg,โหรหลวง,โหรหลวง
399,00028.jpg,พอ,พอ
400,00028.jpg,_,ได้
401,00028.jpg,ฟัง,ฟัง
402,00028.jpg,_,คํา
403,00028.jpg,บอกเล่า,บอกเล่า
404,00028.jpg,เรื่อง,เรื่อง
405,00028.jpg,พระสุบิน,พระสุบิน
406,00029.jpg,จบ,จบ
407,00029.jpg,_,_
408,00029.jpg,_,ก็
409,00029.jpg,พา,พา
410,00029.jpg,กัน,กัน
411,00029.jpg,กราบทุล,กราบทุล
412,00029.jpg,ว่า,ว่า
413,00029.jpg,_,จัก
414,00029.jpg,_,มี
415,00029.jpg,อันตราย,อันตราย
416,00029.jpg,_,_
417,00029.jpg,_,3
418,00029.jpg,_,_
419,00029.jpg,อย่าง,อย่าง
420,00030.jpg,เกิด,เกิด
421,00030.jpg,ขึ้น,ขึ้น
422,00030.jpg,_,ศ
423,00030.jpg,_,คือ
424,00030.jpg,อันตราย,อันตราย
425,00030.jpg,_,แก่
426,00030.jpg,ราชสมบัติ,ราชสมบัติ
427,00030.jpg,_,_
428,00030.jpg,_,1
429,00030.jpg,_,_
430,00030.jpg,โรค,โรค
431,00030.jpg,ภัย,ภัย
432,00030.jpg,เปียดเปียน,เปียดเปียน
433,00030.jpg,_,_
434,00031.jpg,_,1
435,00031.jpg,_,_
436,00031.jpg,อันตราย,อันตราย
437,00031.jpg,แก่,แก่
438,00031.jpg,ชีวิต,ชีวิต
439,00031.jpg,_,_
440,00031.jpg,_,1
441,00031.jpg,_,_
442,00031.jpg,อย่างใด,อย่างใด
443,00031.jpg,อย่าง,อย่าง
444,00031.jpg,หนึ่ง,หนึ่ง
445,00031.jpg,_,_
446,00031.jpg,พระองค์,พระองค์
447,00031.jpg,พอ,พอ
448,00032.jpg,_,ได้
449,00032.jpg,รับฟัง,รับฟัง
450,00032.jpg,อั่ง,อั่ง
451,00032.jpg,ตระหนก,ตระหนก
452,00032.jpg,พระทัย,พระทัย
453,00032.jpg,_,_
454,00032.jpg,_,จึง
455,00032.jpg,ถา,ถา
456,00032.jpg,_,ม
457,00032.jpg,หา,หา
458,00032.jpg,_,วิธี
459,00032.jpg,แก้ไข,แก้ไข
460,00032.jpg,_,_
461,00032.jpg,พวก,พวก
462,00033.jpg,โหรหลวง,โหรหลวง
463,00033.jpg,_,จึง
464,00033.jpg,ทุล,ทุล
465,00033.jpg,วา,วา
466,00033.jpg,_,_
467,00033.jpg,_,อลทย
468,00033.jpg,ขอ,ขอ
469,00033.jpg,_,เคชุ
470,00033.jpg,_,_
471,00033.jpg,พอ,พอ
472,00033.jpg,_,มี
473,00033.jpg,ทาง,ทาง
474,00033.jpg,แก้ไข,แก้ไข
475,00033.jpg,อย,อย
476,00034.jpg,นั่น,นั่น
477,00034.jpg,คือ,คือ
478,00034.jpg,_,_
479,00034.jpg,ต้อง,ต้อง
480,00034.jpg,บุชายัญ,บุชายัญ
481,00034.jpg,ด้วย,ด้วย
482,00034.jpg,สัตว์,สัตว์
483,00034.jpg,_,มี
484,00034.jpg,ชีวิต,ชีวิต
485,00034.jpg,_,_
486,00034.jpg,_,4
487,00034.jpg,_,_
488,00034.jpg,อย่าง,อย่าง
489,00034.jpg,_,_
490,00035.jpg,_,_
491,00035.jpg,จง,จง
492,00035.jpg,_,“พ
493,00035.jpg,ชุง,ชุง
494,00035.jpg,เม,เม
495,00035.jpg,คุ,คุ
496,00035.jpg,จัง,จัง
497,00035.jpg,_,_
498,00035.jpg,“,“
499,00035.jpg,_,_
500,00035.jpg,_,_
501,00035.jpg,_,_
502,00035.jpg,_,_
503,00035.jpg,_,_
504,00036.jpg,โหรหลวง,โหรหลวง
505,00036.jpg,_,รีบ
506,00036.jpg,ทหา,ทหา
507,00036.jpg,_,กัน
508,00036.jpg,_,ไป
509,00036.jpg,ทํา,ทํา
510,00036.jpg,หลุม,หลุม
511,00036.jpg,บุชายัญ,บุชายัญ
512,00036.jpg,_,ที่
513,00036.jpg,นอก,นอก
514,00036.jpg,_,เมือง
515,00036.jpg,_,_
516,00036.jpg,จับ,จับ
517,00036.jpg,ฝุง,ฝุง
518,00037.jpg,สัตว์,สัตว์
519,00037.jpg,_,_
520,00037.jpg,_,4
521,00037.jpg,_,_
522,00037.jpg,เท้า,เท้า
523,00037.jpg,มัด,มัด
524,00037.jpg,น,น
525,00037.jpg,_,ที่
526,00037.jpg,_,หลัก
527,00037.jpg,ยัญ,ยัญ
528,00037.jpg,กําลัง,กําลัง
529,00037.jpg,รวม,รวม
530,00037.jpg,_,ฝุ่ง
531,00037.jpg,นกสั่ง,นกสั่ง
532,00038.jpg,หหาร,หหาร
533,00038.jpg,_,ให้
534,00038.jpg,ปา,ปา
535,00038.jpg,_,ลิ่ง
536,00038.jpg,_,นั้น
537,00038.jpg,ส่ง,ส่ง
538,00038.jpg,_,งึ้
539,00038.jpg,มา,มา
540,00038.jpg,อย,อย
541,00038.jpg,_,_
542,00038.jpg,_,ลําดับ
543,00038.jpg,นั้น,นั้น
544,00038.jpg,พระนาง,พระนาง
545,00038.jpg,มัสลิกา,มัสลิกา
546,00039.jpg,เทวี,เทวี
547,00039.jpg,ทรง,ทรง
548,00039.jpg,ทราบ,ทราบ
549,00039.jpg,เรื่อง,เรื่อง
550,00039.jpg,_,_
551,00039.jpg,จึง,จึง
552,00039.jpg,รีบ,รีบ
553,00039.jpg,เข้าเต้า,เข้าเต้า
554,00039.jpg,_,_
555,00039.jpg,พระราชทาน,พระราชทาน
556,00039.jpg,ทุลถาม,ทุลถาม
557,00039.jpg,_,ถึง
558,00039.jpg,ความ,ความ
559,00039.jpg,จุ่นวาย,จุ่นวาย
560,00040.jpg,_,_
561,00040.jpg,จ,7
562,00040.jpg,_,ม
563,00040.jpg,_,_
564,00040.jpg,_,_
565,00040.jpg,%จ,%”
566,00040.jpg,_,_
567,00040.jpg,_,_
568,00040.jpg,_,_
569,00040.jpg,_,_
570,00040.jpg,_,_
571,00040.jpg,_,_
572,00040.jpg,_,_
573,00040.jpg,_,_
574,00041.jpg,_,ข้าแค่
575,00041.jpg,มหาราชเจ้า,มหาราชเจ้า
576,00041.jpg,_,_
577,00041.jpg,พระองค์,พระองค์
578,00041.jpg,_,ได้
579,00041.jpg,_,_
580,00041.jpg,ถาม,ถาม
581,00041.jpg,ยอด,ยอด
582,00041.jpg,พราหมณ์,พราหมณ์
583,00041.jpg,ใน,ใน
584,00041.jpg,โลก,โลก
585,00041.jpg,_,และ
586,00041.jpg,เทวโลก,เทวโลก
587,00041.jpg,แล้ว,แล้ว
588,00042.jpg,หรือ,หรือ
589,00042.jpg,เพคะ,เพคะ
590,00042.jpg,_,_
591,00042.jpg,_,_
592,00042.jpg,ทรง,ทรง
593,00042.jpg,รับสั่ง,รับสั่ง
594,00042.jpg,_,ว่า
595,00042.jpg,_,_
596,00042.jpg,_,จจง
597,00042.jpg,ใคร,ใคร
598,00042.jpg,กัน,กัน
599,00042.jpg,เล้า,เล้า
600,00042.jpg,_,_
601,00042.jpg,_,_
602,00043.jpg,พระ,พระ
603,00043.jpg,บาง,บาง
604,00043.jpg,_,จึง
605,00043.jpg,_,ทุล
606,00043.jpg,วา,วา
607,00043.jpg,_,_
608,00043.jpg,_,จคย
609,00043.jpg,พระองค์,พระองค์
610,00043.jpg,_,ไม
611,00043.jpg,ทม,ทม
612,00043.jpg,รจัก,รจัก
613,00043.jpg,มหาพราหมณ์,มหาพราหมณ์
614,00043.jpg,ไคคม,ไคคม
615,00043.jpg,_,ผู้
616,00044.jpg,ตถากต,ตถากต
617,00044.jpg,_,_
618,00044.jpg,_,_
619,00044.jpg,สัพพัญญ,สัพพัญญ
620,00044.jpg,_,_
621,00044.jpg,หรือ,หรือ
622,00044.jpg,เพคะ,เพคะ
623,00044.jpg,_,จจอต
624,00044.jpg,_,_
625,00044.jpg,จึง,จึง
626,00044.jpg,_,ได้
627,00044.jpg,_,ส
628,00044.jpg,เสด็จ,เสด็จ
629,00044.jpg,ไป,ไป
630,00045.jpg,วัด,วัด
631,00045.jpg,เชตวัน,เชตวัน
632,00045.jpg,ทันที,ทันที
633,00045.jpg,_,_
634,00045.jpg,พระพุทธองค์,พระพุทธองค์
635,00045.jpg,เมื่อ,เมื่อ
636,00045.jpg,ทรง,ทรง
637,00045.jpg,ทราบ,ทราบ
638,00045.jpg,เรื่องราว,เรื่องราว
639,00045.jpg,ทั้งหมด,ทั้งหมด
640,00045.jpg,แล้ว,แล้ว
641,00045.jpg,_,_
642,00045.jpg,จึง,จึง
643,00045.jpg,พยากรณ์,พยากรณ์
644,00046.jpg,พระสุบิน,พระสุบิน
645,00046.jpg,เป็น,เป็น
646,00046.jpg,_,จ้อ
647,00046.jpg,_,_
648,00046.jpg,_,ๆ
649,00046.jpg,_,_
650,00046.jpg,_,ดัง
651,00046.jpg,_,นี้
652,00046.jpg,_,_
653,00046.jpg,_,ข้อ
654,00046.jpg,_,ทื
655,00046.jpg,_,_
656,00046.jpg,_,1
657,00046.jpg,_,_
658,00047.jpg,_,ท
659,00047.jpg,พระสุบิบ,พระสุบิบ
660,00047.jpg,_,เห็น
661,00047.jpg,วัว,วัว
662,00047.jpg,_,ฉู้
663,00047.jpg,_,มี
664,00047.jpg,_,ส
665,00047.jpg,เหลือง,เหลือง
666,00047.jpg,ดอกอัญชัญ,ดอกอัญชัญ
667,00047.jpg,_,_
668,00047.jpg,_,4
669,00047.jpg,_,_
670,00047.jpg,ตัว,ตัว
671,00047.jpg,_,_
672,00048.jpg,วิ่ง,วิ่ง
673,00048.jpg,มา,มา
674,00048.jpg,คน,คน
675,00048.jpg,_,_
676,00048.jpg,ทิศ,ทิศ
677,00048.jpg,_,_
678,00048.jpg,จะ,จะ
679,00048.jpg,ยน,ยน
680,00048.jpg,กัน,กัน
681,00048.jpg,_,ที่
682,00048.jpg,ห้อง,ห้อง
683,00048.jpg,พระลานหลวง,พระลานหลวง
684,00048.jpg,_,_
685,00048.jpg,เมื่อ,เมื่อ
686,00049.jpg,มหาชน,มหาชน
687,00049.jpg,_,ขุมนุม
688,00049.jpg,กัน,กัน
689,00049.jpg,_,_
690,00049.jpg,แล้ว,แล้ว
691,00049.jpg,กลับ,กลับ
692,00049.jpg,_,ไม่
693,00049.jpg,จน,จน
694,00049.jpg,กัน,กัน
695,00049.jpg,_,_
696,00049.jpg,ถอย,ถอย
697,00049.jpg,วิ่ง,วิ่ง
698,00049.jpg,กลับ,กลับ
699,00049.jpg,_,ไป
700,00050.jpg,_,_
701,00050.jpg,_,นั้น
702,00050.jpg,_,คือ
703,00050.jpg,_,_
704,00050.jpg,เหตุ,เหตุ
705,00050.jpg,จัก,จัก
706,00050.jpg,_,ไม่
707,00050.jpg,_,มี
708,00050.jpg,ใน,ใน
709,00050.jpg,รัชกาล,รัชกาล
710,00050.jpg,ของ,ของ
711,00050.jpg,พระองค์,พระองค์
712,00050.jpg,และ,และ
713,00050.jpg,จัก,จัก
714,00051.jpg,_,ใ๒ฒ่
715,00051.jpg,_,มื
716,00051.jpg,ใน,ใน
717,00051.jpg,ศาสนา,ศาสนา
718,00051.jpg,ของ,ของ
719,00051.jpg,พระตถาคต,พระตถาคต
720,00051.jpg,_,_
721,00051.jpg,_,ใน
722,00051.jpg,อนาคค,อนาคค
723,00051.jpg,_,เมื่อ
724,00051.jpg,โลก,โลก
725,00051.jpg,หมุน,หมุน
726,00051.jpg,ไป,ไป
727,00051.jpg,ถึง,ถึง
728,00052.jpg,จุด,จุด
729,00052.jpg,เสื่อม,เสื่อม
730,00052.jpg,_,_
731,00052.jpg,_,ผู้
732,00052.jpg,ปกครอง,ปกครอง
733,00052.jpg,บ้านเมือง,บ้านเมือง
734,00052.jpg,_,ไม่
735,00052.jpg,_,มี
736,00052.jpg,ศีลธรรม,ศีลธรรม
737,00052.jpg,_,_
738,00052.jpg,เหล่า,เหล่า
739,00052.jpg,ประชาราษฎร์,ประชาราษฎร์
740,00052.jpg,_,ไม่
741,00052.jpg,_,ตั้ง
742,00053.jpg,อยู่,อยู่
743,00053.jpg,_,ใน
744,00053.jpg,ธรรม,ธรรม
745,00053.jpg,_,_
746,00053.jpg,กศลกรรม,กศลกรรม
747,00053.jpg,ลด,ลด
748,00053.jpg,น้อย,น้อย
749,00053.jpg,ถอย,ถอย
750,00053.jpg,ลง,ลง
751,00053.jpg,_,_
752,00053.jpg,อกุศลกรรม,อกุศลกรรม
753,00053.jpg,หนาแน่น,หนาแน่น
754,00053.jpg,จึ้น,จึ้น
755,00053.jpg,_,_
756,00054.jpg,เมื่อ,เมื่อ
757,00054.jpg,_,นั้น
758,00054.jpg,โลก,โลก
759,00054.jpg,จัก,จัก
760,00054.jpg,เกิด,เกิด
761,00054.jpg,ฝน,ฝน
762,00054.jpg,แล้ว,แล้ว
763,00054.jpg,_,_
764,00054.jpg,ทุพภิกขภัย,ทุพภิกขภัย
765,00054.jpg,เมย,เมย
766,00054.jpg,ฝน,ฝน
767,00054.jpg,ตั้ง,ตั้ง
768,00054.jpg,_,_
769,00054.jpg,_,_
770,00055.jpg,ทิศ,ทิศ
